Nome: SAO SIMAO
Codigo Estacao: A770
Latitude: -21.46111111
Longitude: -47.57944443
Altitude: 620
Situacao: Operante
Data Inicial: 2019-07-02
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2019-07-31;4;23,6;949,6;18,6;7,4;1,9;
2019-08-31;5;8,6;949,7;20,7;7,2;2,2;
2019-09-30;8;66;945,7;24,6;7,4;2,2;
2019-10-31;10;100;943,7;25,9;7,1;2,1;
2019-11-30;15;205,2;942,4;24,7;6,6;2,1;
2019-12-31;18;213,6;943;24,7;5,3;1,7;

