Nome: CAMBARA DO SUL
Codigo Estacao: A897
Latitude: -29.04916666
Longitude: -50.14972221
Altitude: 1017
Situacao: Operante
Data Inicial: 2016-11-23
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-11-30;1;null;null;null;null;null;
2016-12-31;17;154;899,8;18,5;9,1;2,9;
2017-01-31;19;141,4;900,9;19,7;7,1;2,8;
2017-02-28;16;null;901;20,5;7,9;2,6;
2017-03-31;16;101;902,6;17,5;8,2;3,1;
2017-04-30;15;87,4;903,2;14,9;10,2;3,1;
2017-05-31;23;200;903,2;13,8;7,6;2,8;
2017-06-30;14;121;904;11,9;13,4;3;
2017-07-31;5;8,2;908,8;12,1;8,7;2,8;
2017-08-31;14;91;903,5;13,2;10,3;3,1;
2017-09-30;9;126;904,7;16,6;9,2;2,7;
2017-10-31;15;197,2;900,1;15,2;10,2;3,3;
2017-11-30;15;145;899,4;15,3;8,5;3;
2017-12-31;14;81,8;899,5;18,3;7,7;2,9;
2018-01-31;23;141;900,2;18,5;8,5;3,1;
2018-02-28;12;114,4;901,1;17,7;6,7;2,8;
2018-03-31;21;145,2;900,2;18,1;7,9;2,6;
2018-04-30;13;72,2;904,5;17,2;6,4;2,4;
2018-05-31;13;77;904,4;13,2;7,8;2,7;
2018-06-30;17;177,8;903,8;10,6;14,1;3,1;
2018-07-31;16;188,2;904,1;12,1;10,4;3,3;
2018-08-31;13;86,6;904,3;10,4;11,2;3,2;
2018-09-30;14;162,8;901,9;14,4;8,1;3;
2018-10-31;12;265,6;901,3;14,6;7,8;3,1;
2018-11-30;13;99,6;901;17,1;8,3;3,1;
2018-12-31;13;139,6;900,8;18,5;8,8;3;
2019-01-31;17;285;902;21,1;9,8;3;
2019-02-28;17;182;901,1;18,3;9,5;2,9;
2019-03-31;15;112,2;903;17,3;7,1;2,8;
2019-04-30;17;140,8;902,1;16,8;8;2,6;
2019-05-31;8;null;null;null;null;null;
2019-06-30;10;21,4;905,1;14,1;11,2;2,9;
2019-07-31;11;97,6;904,4;10,9;8,8;2,9;
2019-08-31;6;51,6;906,4;11,3;9,6;3,1;
2019-09-30;13;75,8;903,2;13,7;9;3;
2019-10-31;19;248;902,1;16,3;9,8;3;
2019-11-30;18;123,6;900,6;16,8;7,1;3;
2019-12-31;8;57,6;900,1;18,6;10,8;3;

